Time (s) Run #1,Position (m) Run #1,Force (N) Run #1
0,0,-1
0.025,0,0
0.05,0,-1
0.075,0,-1
0.1,0,0
0.125,0,-2
0.15,0,0
0.175,0,0
0.2,0,0
0.225,0,-1
0.25,0,-1
0.275,0,1
0.3,0,-1
0.325,0,0
0.35,0,-1
0.375,0,1
0.4,0,0
0.425,0,0
0.45,0,-1
0.475,0,0
0.5,0,-1
0.525,0,-1
0.55,0,0
0.575,0,0
0.6,0,-2
0.625,0,0
0.65,0,-1
0.675,0,-1
0.7,0,-1
0.725,0,0
0.75,0,-1
0.775,0,0
0.8,0,0
0.825,0,-1
0.85,0,0
0.875,0,0
0.9,0,0
0.925,0,-1
0.95,0,-1
0.975,0,0
1,0,-1
1.025,0,0
1.05,0,-1
1.075,0,-1
1.1,0,0
1.125,0,0
1.15,0,-1
1.175,0,1
1.2,0,-1
1.225,0,-1
1.25,0,-1
1.275,0,0
1.3,0,-1
1.325,0,0
1.35,0,0
1.375,0,0
1.4,0,0
1.425,0,-1
1.45,0,-1
1.475,0,-1
1.5,0,0
1.525,0,-1
1.55,0,-1
1.575,0,0
1.6,0,0
1.625,0,-2
1.65,0,0
1.675,0,-1
1.7,0,0
1.725,0,-1
1.75,0,-1
1.775,0,-2
1.8,0,0
1.825,0,-1
1.85,0,-1
1.875,0,-1
1.9,0,-1
1.925,0,-1
1.95,0,-1
1.975,0,0
2,0,-1
2.025,0,-1
2.05,0,0
2.075,6.35E-07,-1
2.1,1.91E-06,0
2.125,5.08E-06,-1
2.15,1.02E-05,0
2.175,1.71E-05,0
2.2,2.48E-05,-1
2.225,3.43E-05,0
2.25,4.51E-05,1
2.275,5.72E-05,0
2.3,7.05E-05,-1
2.325,8.45E-05,1
2.35,9.84E-05,0
2.375,1.11E-04,2
2.4,1.23E-04,0
2.425,1.34E-04,0
2.45,1.45E-04,0
2.475,1.56E-04,2
2.5,1.67E-04,2
2.525,1.78E-04,1
2.55,1.89E-04,2
2.575,2.01E-04,3
2.6,2.12E-04,1
2.625,2.23E-04,1
2.65,2.34E-04,1
2.675,2.46E-04,0
2.7,2.57E-04,3
2.725,2.67E-04,3
2.75,2.77E-04,2
2.775,2.86E-04,3
2.8,2.95E-04,2
2.825,3.03E-04,3
2.85,3.11E-04,3
2.875,3.19E-04,2
2.9,3.26E-04,3
2.925,3.34E-04,2
2.95,3.41E-04,4
2.975,3.49E-04,3
3,3.56E-04,2
3.025,3.62E-04,2
3.05,3.68E-04,2
3.075,3.74E-04,2
3.1,3.81E-04,4
3.125,3.87E-04,4
3.15,3.95E-04,2
3.175,4.03E-04,3
3.2,4.12E-04,4
3.225,4.22E-04,6
3.25,4.33E-04,6
3.275,4.45E-04,8
3.3,4.56E-04,11
3.325,4.68E-04,12
3.35,4.80E-04,14
3.375,4.92E-04,18
3.4,5.04E-04,17
3.425,5.14E-04,19
3.45,5.25E-04,20
3.475,5.33E-04,22
3.5,5.40E-04,24
3.525,5.47E-04,25
3.55,5.53E-04,25
3.575,5.60E-04,27
3.6,5.68E-04,28
3.625,5.78E-04,30
3.65,5.90E-04,31
3.675,6.03E-04,33
3.7,6.16E-04,36
3.725,6.29E-04,38
3.75,6.42E-04,40
3.775,6.55E-04,42
3.8,6.68E-04,44
3.825,6.80E-04,46
3.85,6.92E-04,49
3.875,7.02E-04,51
3.9,7.13E-04,51
3.925,7.25E-04,53
3.95,7.35E-04,54
3.975,7.47E-04,56
4,7.60E-04,58
4.025,7.74E-04,59
4.05,7.89E-04,61
4.075,8.03E-04,63
4.1,8.19E-04,64
4.125,8.34E-04,66
4.15,8.48E-04,68
4.175,8.62E-04,70
4.2,8.74E-04,72
4.225,8.85E-04,72
4.25,8.94E-04,74
4.275,9.03E-04,76
4.3,9.12E-04,74
4.325,9.22E-04,76
4.35,9.33E-04,78
4.375,9.48E-04,79
4.4,9.65E-04,82
4.425,9.84E-04,83
4.45,0.001,85
4.475,0.00102,87
4.5,0.00103,89
4.525,0.00105,91
4.55,0.00106,92
4.575,0.00108,94
4.6,0.00109,96
4.625,0.00111,97
4.65,0.00112,100
4.675,0.00114,101
4.7,0.00115,102
4.725,0.00116,103
4.75,0.00118,104
4.775,0.00119,106
4.8,0.0012,107
4.825,0.00122,108
4.85,0.00123,110
4.875,0.00124,110
4.9,0.00125,111
4.925,0.00127,112
4.95,0.00128,112
4.975,0.00129,112
5,0.0013,114
5.025,0.00131,114
5.05,0.00132,115
5.075,0.00133,115
5.1,0.00135,116
5.125,0.00136,117
5.15,0.00138,118
5.175,0.00139,117
5.2,0.00141,119
5.225,0.00142,121
5.25,0.00144,122
5.275,0.00145,123
5.3,0.00147,123
5.325,0.00148,123
5.35,0.0015,125
5.375,0.00151,126
5.4,0.00153,126
5.425,0.00154,126
5.45,0.00156,127
5.475,0.00157,127
5.5,0.00158,126
5.525,0.0016,127
5.55,0.00161,127
5.575,0.00162,128
5.6,0.00163,128
5.625,0.00164,126
5.65,0.00165,126
5.675,0.00166,124
5.7,0.00167,122
5.725,0.00168,121
5.75,0.00168,117
5.775,0.00169,114
5.8,0.0017,112
5.825,0.00171,110
5.85,0.00171,107
5.875,0.00172,104
5.9,0.00173,100
5.925,0.00174,97
5.95,0.00176,95
5.975,0.00177,92
6,0.00178,87
6.025,0.0018,83
6.05,0.00181,78
6.075,0.00182,68
6.1,0.00184,3
6.125,0.00185,2
6.15,0.00186,1
6.175,0.00187,3
6.2,0.00189,2
6.225,0.0019,1
6.25,0.00191,2
6.275,0.00192,1
6.3,0.00193,2
6.325,0.00194,2
6.35,0.00196,1
6.375,0.00197,1
6.4,0.00198,1
6.425,0.00199,2
6.45,0.002,1
6.475,0.00201,1
6.5,0.00202,2
6.525,0.00203,1
6.55,0.00204,1
6.575,0.00205,1
6.6,0.00206,1
6.625,0.00207,1
6.65,0.00207,2
6.675,0.00208,1
6.7,0.00209,3
6.725,0.0021,1
6.75,0.00211,2
6.775,0.00211,2
6.8,0.00212,2
6.825,0.00213,1
6.85,0.00214,2
6.875,0.00214,2
6.9,0.00215,0
6.925,0.00216,2
6.95,0.00217,2
6.975,0.00218,1
7,0.00219,2
7.025,0.00221,1
7.05,0.00222,2
7.075,0.00224,1
7.1,0.00225,1
7.125,0.00227,1
7.15,0.00228,2
7.175,0.00229,2
7.2,0.0023,2
7.225,0.00231,1
7.25,0.00232,3
7.275,0.00233,3
7.3,0.00234,1
7.325,0.00235,1
7.35,0.00236,2
7.375,0.00236,2
7.4,0.00237,2
7.425,0.00237,2
7.45,0.00238,1
7.475,0.00239,1
7.5,0.00239,2
7.525,0.0024,1
7.55,0.00241,1
7.575,0.00241,2
7.6,0.00242,1
7.625,0.00243,2
7.65,0.00243,1
7.675,0.00244,2
7.7,0.00245,1
7.725,0.00246,3
7.75,0.00246,1
7.775,0.00247,1
7.8,0.00248,2
7.825,0.00249,2
7.85,0.0025,2
7.875,0.0025,2
7.9,0.00251,1
7.925,0.00252,2
7.95,0.00253,1
7.975,0.00253,2
8,0.00254,3
8.025,0.00254,1
8.05,0.00255,2
8.075,0.00255,1
8.1,0.00256,3
8.125,0.00256,2
8.15,0.00256,2
8.175,0.00256,1
8.2,0.00256,2
8.225,0.00256,2
8.25,0.00256,2
8.275,0.00256,2
8.3,0.00256,2
8.325,0.00256,2
8.35,0.00256,2
8.375,0.00256,2
8.4,0.00256,2
8.425,0.00256,1
8.45,0.00256,2
8.475,0.00256,3
8.5,0.00256,2
8.525,0.00256,2
8.55,0.00256,0
8.575,0.00256,2
8.6,0.00256,2
