"Time (s) Run #1","Position (m) Run #1","Force (N) Run #1"
0.000,0.00000,0
0.025,0.00000,0
0.050,0.00000,0
0.075,0.00000,0
0.100,0.00000,0
0.125,0.00000,-2
0.150,0.00000,0
0.175,0.00000,-1
0.200,0.00000,-2
0.225,0.00000,-1
0.250,0.00000,-1
0.275,0.00000,-1
0.300,0.00000,0
0.325,0.00000,-1
0.350,0.00000,-1
0.375,0.00000,-1
0.400,0.00000,-2
0.425,0.00000,0
0.450,0.00000,-2
0.475,0.00000,-1
0.500,0.00000,-2
0.525,0.00000,0
0.550,0.00000,-1
0.575,0.00000,-1
0.600,0.00000,0
0.625,0.00000,0
0.650,0.00000,-1
0.675,0.00000,-1
0.700,0.00000,1
0.725,0.00000,0
0.750,0.00000,-1
0.775,0.00000,-2
0.800,0.00000,-1
0.825,0.00000,0
0.850,0.00000,-1
0.875,0.00000,-1
0.900,0.00000,-1
0.925,0.00000,-1
0.950,0.00000,-1
0.975,0.00000,-1
1.000,0.00000,-1
1.025,0.00000,-1
1.050,0.00000,-1
1.075,0.00000,-1
1.100,0.00000,-1
1.125,0.00000,-1
1.150,0.00000,-1
1.175,0.00000,0
1.200,0.00000,-1
1.225,0.00000,0
1.250,0.00000,-1
1.275,0.00000,0
1.300,0.00000,0
1.325,0.00000,0
1.350,0.00000,-1
1.375,0.00000,1
1.400,0.00000,0
1.425,0.00000,-1
1.450,0.00000,-1
1.475,0.00000,0
1.500,0.00000,-1
1.525,0.00000,-1
1.550,0.00000,-1
1.575,1.27000E-6,-1
1.600,5.08000E-6,-1
1.625,1.33350E-5,-1
1.650,2.28600E-5,-1
1.675,3.42900E-5,-1
1.700,4.69900E-5,1
1.725,6.28650E-5,1
1.750,8.12800E-5,-1
1.775,1.01600E-4,1
1.800,1.24460E-4,1
1.825,1.47955E-4,2
1.850,1.72085E-4,0
1.875,1.93675E-4,0
1.900,2.13360E-4,2
1.925,2.30505E-4,1
1.950,2.49555E-4,2
1.975,2.69875E-4,1
2.000,2.90195E-4,1
2.025,3.09245E-4,3
2.050,3.27025E-4,3
2.075,3.45440E-4,4
2.100,3.63855E-4,4
2.125,3.82905E-4,4
2.150,4.01320E-4,5
2.175,4.21005E-4,6
2.200,4.40690E-4,6
2.225,4.60375E-4,6
2.250,4.80060E-4,7
2.275,4.99110E-4,8
2.300,5.17525E-4,8
2.325,5.34670E-4,9
2.350,5.51180E-4,9
2.375,5.66420E-4,11
2.400,5.81025E-4,11
2.425,5.94995E-4,11
2.450,6.08965E-4,13
2.475,6.24205E-4,13
2.500,6.39445E-4,14
2.525,6.54685E-4,15
2.550,6.68020E-4,14
2.575,6.81355E-4,15
2.600,6.94055E-4,15
2.625,7.07390E-4,16
2.650,7.21995E-4,17
2.675,7.35965E-4,16
2.700,7.51205E-4,19
2.725,7.67080E-4,19
2.750,7.84225E-4,17
2.775,8.03275E-4,19
2.800,8.22960E-4,19
2.825,8.43915E-4,19
2.850,8.66140E-4,21
2.875,8.89635E-4,21
2.900,9.14400E-4,23
2.925,9.40435E-4,23
2.950,9.67105E-4,26
2.975,9.94410E-4,26
3.000,0.00102,27
3.025,0.00104,28
3.050,0.00106,28
3.075,0.00108,30
3.100,0.00111,31
3.125,0.00113,32
